inventory_id,snapshot_month,item_type,item_id,item_code,item_name,warehouse_id,warehouse_name,batch_number,quantity,unit_price,total_price,earliest_storage_date,max_storage_age,storage_reason,storage_note,consumption_path,created_date,status
INV0000001,2023-05,Product,P0001,UAV-XF-BASIC,旋风基础版整机,WH001,中央成品仓,FG230501-001,866,38369.77,33228222.98,2023-04-30,1,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000002,2023-05,Product,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,WH001,中央成品仓,FG230501-001,4232,35451.48,150030650.38,2023-04-27,4,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000003,2023-05,Product,P0003,UAV-XF-PRO-A,巡风摄影版整机,WH001,中央成品仓,FG230501-001,4926,6430.22,31675266.56,2023-04-17,14,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000004,2023-05,Product,P0004,UAV-XF-PRO-B,巡风探索版整机,WH001,中央成品仓,FG230501-001,5974,27740.99,165724662.1,2023-04-23,8,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000005,2023-05,Product,P0005,UAV-XF-PRO-C,巡风全能版整机,WH001,中央成品仓,FG230501-001,3035,37220.88,112965378.63,2023-04-24,7,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000006,2023-05,Product,P0006,UAV-JF-ENT-AG,极风农业版整机,WH001,中央成品仓,FG230501-001,4348,14919.83,64871412.11,2023-04-17,14,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000007,2023-05,Product,P0007,UAV-JF-ENT-SV,极风测绘版整机,WH001,中央成品仓,FG230501-001,2739,44118.51,120840611.04,2023-04-05,26,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000008,2023-05,Product,P0008,UAV-JF-ENT-SC,极风安防版整机,WH001,中央成品仓,FG230501-001,1039,36416.27,37836507.41,2023-04-25,6,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000009,2023-05,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,WH001,中央成品仓,FG230501-001,2662,14689.12,39102435.56,2023-04-26,5,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000010,2023-05,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,WH001,中央成品仓,FG230501-001,3254,9173.56,29850773.85,2023-04-27,4,生产入库,工序完工-总装线,销售出库,2023-05-31,Active
INV0000011,2023-05,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH001,中央成品仓,FG230501-001,151,20478.01,3092179.13,2023-04-03,28,生产入库,工序完工-机身生产线,生产领用,2023-05-31,Active
INV0000012,2023-05,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,中央成品仓,FG230501-001,171,37837.93,6470286.1,2023-04-29,2,生产入库,工序完工-机身生产线,生产领用,2023-05-31,Active
INV0000013,2023-05,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,中央成品仓,FG230501-001,204,22034.05,4494945.58,2023-04-01,30,生产入库,工序完工-机身生产线,生产领用,2023-05-31,Active
INV0000014,2023-05,Material,M0002,ASSY-FC-BASIC,基础飞控总成,WH001,中央成品仓,FG230501-001,206,33288.79,6857490.94,2023-04-04,27,生产入库,工序完工-飞控组装线,生产领用,2023-05-31,Active
INV0000015,2023-05,Material,M0011,ASSY-FC-ADV,高级飞控总成,WH001,中央成品仓,FG230501-001,183,36705.73,6717149.07,2023-04-24,7,生产入库,工序完工-飞控组装线,生产领用,2023-05-31,Active
INV0000016,2023-05,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,中央成品仓,FG230501-001,145,39788.08,5769270.92,2023-04-23,8,生产入库,工序完工-飞控组装线,生产领用,2023-05-31,Active
INV0000017,2023-05,Material,M0004,ASSY-PWR-STD,标准动力系统总成,WH001,中央成品仓,FG230501-001,258,15475.59,3992702.19,2023-04-03,28,生产入库,工序完工-动力总成线,生产领用,2023-05-31,Active
INV0000018,2023-05,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,中央成品仓,FG230501-001,152,25403.46,3861326.47,2023-04-22,9,生产入库,工序完工-动力总成线,生产领用,2023-05-31,Active
INV0000019,2023-05,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH001,中央成品仓,FG230501-001,240,21658.14,5197954.44,2023-04-25,6,生产入库,工序完工-动力总成线,生产领用,2023-05-31,Active
INV0000020,2023-05,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH001,中央成品仓,FG230501-001,165,36581.91,6036015.83,2023-04-22,9,生产入库,工序完工-电池PACK线,生产领用,2023-05-31,Active
INV0000021,2023-05,Material,M0019,VIRT-CAM-SEL,相机配置选择件,WH001,中央成品仓,FG230501-001,222,32410.9,7195218.75,2023-04-28,3,生产入库,工序完工-总装线,生产领用,2023-05-31,Active
INV0000022,2023-05,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,电子材料仓,BN230501-001,3370,4947.72,16673821.52,2023-03-21,41,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000023,2023-05,Material,M0002,ASSY-FC-BASIC,基础飞控总成,WH002,电子材料仓,BN230501-001,3743,1105.88,4139307.78,2023-02-12,78,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000024,2023-05,Material,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,WH002,电子材料仓,BN230501-001,821,3882.24,3187318.68,2023-01-16,105,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000025,2023-05,Material,M0004,ASSY-PWR-STD,标准动力系统总成,WH002,电子材料仓,BN230501-001,2881,4027.18,11602301.39,2023-04-20,11,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000026,2023-05,Material,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,WH003,配件仓,BN230501-001,1080,1062.8,1147828.74,2023-04-16,15,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000027,2023-05,Material,M0006,PART-RC-BASIC,基础遥控器,WH003,配件仓,BN230501-001,4380,3592.39,15734677.88,2023-01-02,119,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000028,2023-05,Material,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,WH002,电子材料仓,BN230501-001,759,1984.2,1506010.22,2023-02-20,70,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000029,2023-05,Material,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,配件仓,BN230501-001,1440,722.93,1041018.1,2023-02-25,65,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000030,2023-05,Material,M0009,PART-RC-ADV,高级遥控器,WH003,配件仓,BN230501-001,2693,2811.23,7570634.28,2023-01-19,102,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000031,2023-05,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH002,电子材料仓,BN230501-001,2951,2147.88,6338408.04,2023-02-09,81,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000032,2023-05,Material,M0011,ASSY-FC-ADV,高级飞控总成,WH002,电子材料仓,BN230501-001,3625,1104.41,4003488.38,2023-03-09,53,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000033,2023-05,Material,M0012,PART-CAM-GIMBAL-1INCH,1英寸三轴云台相机,WH002,电子材料仓,BN230501-001,1198,2472.64,2962227.53,2023-02-18,72,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000034,2023-05,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,WH002,电子材料仓,BN230501-001,3987,557.15,2221353.7,2023-01-04,117,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000035,2023-05,Material,M0014,PART-BAT-4S-5200,高容智能电池4S5200mAh,WH003,配件仓,BN230501-001,1239,3405.6,4219539.96,2023-01-13,108,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000036,2023-05,Material,M0015,PART-RC-PRO,专业遥控器,WH003,配件仓,BN230501-001,3652,1914.28,6990951.44,2023-03-06,56,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000037,2023-05,Material,M0016,PART-AVOID-VISION,视觉避障系统,WH002,电子材料仓,BN230501-001,4491,1264.56,5679123.06,2023-02-16,74,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000038,2023-05,Material,M0017,PART-CAM-ZOOM,变焦相机模组,WH002,电子材料仓,BN230501-001,949,3404.61,3230978.89,2023-04-23,8,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000039,2023-05,Material,M0018,PART-AVOID-ENHANCED,增强避障系统（视觉+红外）,WH002,电子材料仓,BN230501-001,2640,2689.48,7100232.34,2023-01-01,120,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000040,2023-05,Material,M0019,VIRT-CAM-SEL,相机配置选择件,WH002,电子材料仓,BN230501-001,2960,1707.48,5054127.81,2023-02-01,89,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000041,2023-05,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH002,电子材料仓,BN230501-001,3016,2274.08,6858629.18,2023-04-04,27,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000042,2023-05,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH002,电子材料仓,BN230501-001,4403,3601.21,15856112.39,2023-01-02,119,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000043,2023-05,Material,M0022,PART-CAM-FPV,FPV图传相机,WH002,电子材料仓,BN230501-001,1184,901.47,1067343.89,2023-01-17,104,采购入库,PO-202305001,生产领用,2023-05-31,Active
INV0000044,2023-05,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH002,电子材料仓,BN230501-001,4316,3130.25,13510150.22,2023-01-03,118,采购入库,PO-202305001,生产领用,2023-05-31,Active
