inventory_id,snapshot_month,item_type,item_id,item_code,item_name,warehouse_id,warehouse_name,batch_number,quantity,unit_price,total_price,earliest_storage_date,max_storage_age,storage_reason,storage_note,consumption_path,created_date,status
INV0000001,2022-06,Product,P0001,UAV-XF-BASIC,旋风基础版整机,WH001,中央成品仓,FG230501-001,1105,39586.93,43743557.65,2023-04-30,1,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000002,2022-06,Product,P0002,UAV-XF-BASIC-PLUS,旋风增强版整机,WH001,中央成品仓,FG230501-001,4142,36402.22,150777995.24,2023-04-27,1,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000003,2022-06,Product,P0003,UAV-XF-PRO-A,巡风摄影版整机,WH001,中央成品仓,FG230501-001,4903,6159.89,30201940.67,2023-04-17,6,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000004,2022-06,Product,P0004,UAV-XF-PRO-B,巡风探索版整机,WH001,中央成品仓,FG230501-001,7482,26844.77,200852569.14,2023-04-23,17,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000005,2022-06,Product,P0005,UAV-XF-PRO-C,巡风全能版整机,WH001,中央成品仓,FG230501-001,2546,38823.0,98843358.0,2023-04-24,1,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000006,2022-06,Product,P0006,UAV-JF-ENT-AG,极风农业版整机,WH001,中央成品仓,FG230501-001,4900,14889.24,72957276.0,2023-04-17,28,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000007,2022-06,Product,P0007,UAV-JF-ENT-SV,极风测绘版整机,WH001,中央成品仓,FG230501-001,3418,42018.55,143619403.9,2023-04-05,16,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000008,2022-06,Product,P0008,UAV-JF-ENT-SC,极风安防版整机,WH001,中央成品仓,FG230501-001,1333,36495.58,48648608.14,2023-04-25,16,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000009,2022-06,Product,P0009,UAV-BF-IND-H20,霸风20L植保无人机,WH001,中央成品仓,FG230501-001,2477,15225.05,37712448.85,2023-04-26,6,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000010,2022-06,Product,P0010,UAV-BF-IND-H30,霸风30L植保无人机,WH001,中央成品仓,FG230501-001,3491,9337.49,32597177.59,2023-04-27,1,生产入库,工序完工-总装线,销售出库,2022-06-30,Active
INV0000011,2022-06,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH001,中央成品仓,FG230501-001,154,19562.84,3012677.36,2023-04-03,28,生产入库,工序完工-机身生产线,生产领用,2022-06-30,Active
INV0000012,2022-06,Material,M0010,ASSY-BODY-CF-01,碳纤维机身总成,WH001,中央成品仓,FG230501-001,121,35991.1,4354923.1,2023-04-29,1,生产入库,工序完工-机身生产线,生产领用,2022-06-30,Active
INV0000013,2022-06,Material,M0020,ASSY-BODY-IND-01,工业级强化机身总成,WH001,中央成品仓,FG230501-001,165,23093.62,3810447.3,2023-04-01,30,生产入库,工序完工-机身生产线,生产领用,2022-06-30,Active
INV0000014,2022-06,Material,M0002,ASSY-FC-BASIC,基础飞控总成,WH001,中央成品仓,FG230501-001,184,34878.1,6417570.4,2023-04-04,13,生产入库,工序完工-飞控组装线,生产领用,2022-06-30,Active
INV0000015,2022-06,Material,M0011,ASSY-FC-ADV,高级飞控总成,WH001,中央成品仓,FG230501-001,139,35349.56,4913588.84,2023-04-24,1,生产入库,工序完工-飞控组装线,生产领用,2022-06-30,Active
INV0000016,2022-06,Material,M0021,ASSY-FC-RTK,RTK高精度飞控总成,WH001,中央成品仓,FG230501-001,159,38091.9,6056612.1,2023-04-23,13,生产入库,工序完工-飞控组装线,生产领用,2022-06-30,Active
INV0000017,2022-06,Material,M0004,ASSY-PWR-STD,标准动力系统总成,WH001,中央成品仓,FG230501-001,283,15068.16,4264289.28,2023-04-03,18,生产入库,工序完工-动力总成线,生产领用,2022-06-30,Active
INV0000018,2022-06,Material,M0013,ASSY-PWR-EFF,高效动力系统总成,WH001,中央成品仓,FG230501-001,197,25368.75,4997643.75,2023-04-22,20,生产入库,工序完工-动力总成线,生产领用,2022-06-30,Active
INV0000019,2022-06,Material,M0023,ASSY-PWR-TQ,高扭矩动力系统总成,WH001,中央成品仓,FG230501-001,298,22519.15,6710706.7,2023-04-25,1,生产入库,工序完工-动力总成线,生产领用,2022-06-30,Active
INV0000020,2022-06,Material,M0024,ASSY-BAT-DUAL,双电池冗余系统,WH001,中央成品仓,FG230501-001,133,37563.36,4995926.88,2023-04-22,21,生产入库,工序完工-电池PACK线,生产领用,2022-06-30,Active
INV0000021,2022-06,Material,M0019,VIRT-CAM-SEL,相机配置选择件,WH001,中央成品仓,FG230501-001,236,32581.03,7689123.08,2023-04-28,1,生产入库,工序完工-总装线,生产领用,2022-06-30,Active
INV0000022,2022-06,Material,M0001,ASSY-BODY-PLA-01,入门塑料机身总成,WH002,电子材料仓,BN230501-001,4351,4940.38,21495593.38,2023-03-21,52,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000023,2022-06,Material,M0002,ASSY-FC-BASIC,基础飞控总成,WH002,电子材料仓,BN230501-001,4631,1086.62,5032137.22,2023-02-12,92,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000024,2022-06,Material,M0003,PART-CAM-FIX-12MP,1200万像素固定相机,WH002,电子材料仓,BN230501-001,952,3852.63,3667703.76,2023-01-16,102,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000025,2022-06,Material,M0004,ASSY-PWR-STD,标准动力系统总成,WH002,电子材料仓,BN230501-001,3306,4153.83,13732561.98,2023-04-20,15,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000026,2022-06,Material,M0005,PART-BAT-2S-3000,标准智能电池2S3000mAh,WH003,配件仓,BN230501-001,1258,1017.07,1279474.06,2023-04-16,7,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000027,2022-06,Material,M0006,PART-RC-BASIC,基础遥控器,WH003,配件仓,BN230501-001,3470,3617.4,12552378.0,2023-01-02,110,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000028,2022-06,Material,M0007,PART-CAM-FIX-20MP,2000万像素固定相机,WH002,电子材料仓,BN230501-001,940,2068.75,1944625.0,2023-02-20,74,采购入库,PO-202305001,生产领用,2022-06-30,Active
INV0000029,2022-06,Material,M0008,PART-BAT-3S-4000,增强智能电池3S4000mAh,WH003,配件仓,BN230501-001,1770,738.05,1306348.5,2023-02-25,57,采购入库,PO-202305001,生产领用,2022-06-30,Active
