"material_code","material_name","primary_supplier_id","primary_supplier_name","alternative_supplier_id","alternative_supplier_name","similarity_score","recommendation_reason","quality_comparison","delivery_comparison","price_comparison","risk_level","availability","notes"
"ASSY-BODY-PLA-01","入门塑料机身总成","SUP-035","北京智能视觉科技公司","SUP-028","台州塑料注塑成型公司","85","同类塑料件生产商，具备机身制造能力","85","90","92","低","是","价格更优惠且准时交付率更高"
"ASSY-BODY-PLA-01","入门塑料机身总成","SUP-035","北京智能视觉科技公司","SUP-027","深圳铝合金精密加工厂","65","可提供金属机身替代方案","80","75","70","低","是","金属材质更耐用但成本较高"
"ASSY-FC-BASIC","基础飞控总成","SUP-024","深圳云台技术有限公司","SUP-035","北京智能视觉科技公司","88","具备电子组件集成能力","92","88","85","中","是","质量稳定，交付周期略长"
"ASSY-FC-BASIC","基础飞控总成","SUP-024","深圳云台技术有限公司","SUP-043","深圳无线通信技术公司","78","通信模块供应商，可扩展飞控功能","85","82","88","低","是","价格竞争力强"
"PART-CAM-FIX-12MP","1200万像素固定相机","SUP-023","舜宇光学科技有限公司","SUP-022","豪威科技（OmniVision）","92","同类影像传感器供应商","90","94","88","低","是","准时交付率更高"
"PART-CAM-FIX-12MP","1200万像素固定相机","SUP-023","舜宇光学科技有限公司","SUP-021","索尼半导体解决方案","95","顶级影像传感器供应商","98","95","75","低","是","质量最优但价格较高"
"ASSY-PWR-STD","标准动力系统总成","SUP-003","意法半导体（ST）亚太区","SUP-012","深圳大疆创新动力系统","90","专业无人机动力系统供应商","97","86","92","低","是","国产化方案，综合性价比高"
"ASSY-PWR-STD","标准动力系统总成","SUP-003","意法半导体（ST）亚太区","SUP-011","T-Motor无刷电机有限公司","82","专业电机供应商","95","76","88","低","是","电机性能优异"
"PART-BAT-2S-3000","标准智能电池2S3000mAh","SUP-018","比亚迪电池有限公司","SUP-017","宁德时代新能源科技","95","顶级动力电池供应商","92","100","85","低","是","准时交付率100%"
"PART-BAT-2S-3000","标准智能电池2S3000mAh","SUP-018","比亚迪电池有限公司","SUP-019","LG化学电池韩国","88","国际知名电池供应商","76","96","86","中","是","国际品牌，品质稳定"
"PART-RC-BASIC","基础遥控器","SUP-014","好盈电子科技有限公司","SUP-043","深圳无线通信技术公司","85","专业无线通信模块供应商","89","82","92","低","是","通信技术更先进"
"PART-CAM-FIX-20MP","2000万像素固定相机","SUP-022","豪威科技（OmniVision）","SUP-023","舜宇光学科技有限公司","91","同类影像传感器供应商","91","84","87","低","是","国产品牌，性价比高"
"PART-CAM-FIX-20MP","2000万像素固定相机","SUP-022","豪威科技（OmniVision）","SUP-021","索尼半导体解决方案","93","顶级影像传感器供应商","98","95","78","低","是","业界标杆，质量最优"
"ASSY-BODY-CF-01","碳纤维机身总成","SUP-021","索尼半导体解决方案","SUP-025","东莞碳纤维复合材料厂","90","专业碳纤维加工厂","90","98","88","低","是","专注碳纤维制品，交付快"
"ASSY-BODY-CF-01","碳纤维机身总成","SUP-021","索尼半导体解决方案","SUP-026","中航复合材料有限公司","85","国有大型复合材料企业","86","84","83","中","是","军工背景，品质保障"
"ASSY-FC-ADV","高级飞控总成","SUP-034","东莞FR4覆铜板厂","SUP-024","深圳云台技术有限公司","84","具备飞控集成经验","77","100","77","中","是","准时交付率100%"
"ASSY-FC-ADV","高级飞控总成","SUP-034","东莞FR4覆铜板厂","SUP-035","北京智能视觉科技公司","80","智能感知系统集成商","75","90","76","中","是","可提供智能化升级方案"
"PART-CAM-GIMBAL-1INCH","1英寸三轴云台相机","SUP-023","舜宇光学科技有限公司","SUP-024","深圳云台技术有限公司","92","专业云台技术供应商","77","100","77","中","是","云台技术领先"
"PART-CAM-GIMBAL-1INCH","1英寸三轴云台相机","SUP-023","舜宇光学科技有限公司","SUP-022","豪威科技（OmniVision）","88","影像传感器供应商","88","94","79","低","是","传感器质量优秀"
